ֲûחמג presence: (<socket.socket fd=428, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 61337)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=608, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51822)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=592, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51823)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=600, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51824)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51825)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=624, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51826)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51827)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=628, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51828)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=632, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51829)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=612, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51830)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=644, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51831)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=640, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51832)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=648, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51833)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=656, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51834)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=660, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51835)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=668, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51836)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=672, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51837)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=676, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51838)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51839)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=684, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51840)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=692, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51841)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=704, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51842)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=636, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51843)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=700, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51844)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=696, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51845)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=652, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51846)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=712, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51847)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=688, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51848)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=720, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51849)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=664, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51850)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=716, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51851)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51852)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=732, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51853)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=740, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51854)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=748, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51855)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=744, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51856)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=708, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51857)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=724, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51858)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=756, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51859)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=764, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51860)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=760, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51861)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=752, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51862)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=768, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51863)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=776, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51864)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=772, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51865)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=784, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51866)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=788, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51867)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=792, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51868)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=736, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51869)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=796, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51870)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=804, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51871)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=780, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51872)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=808, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51873)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=800, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51874)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=820, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51875)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51877)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=812, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51876)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=828, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51878)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=836, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51879)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=840, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51880)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=844, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51881)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=852, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51882)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=824, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51883)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=860, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51884)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=864, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51885)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=832, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51886)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=856, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51887)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=868, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51889)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=848, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51888)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=876, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51890)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=880, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51891)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=888, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51892)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=892, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51893)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=900, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51894)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=896, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51895)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=884, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51896)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=916, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51897)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=920, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51898)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=924, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51899)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=912, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51900)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=928, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51901)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=932, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51902)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=904, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51903)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=908, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51904)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=936, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51905)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=872, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51906)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=944, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51907)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=940, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51908)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=948, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51909)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=956, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51910)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=964, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51911)>, 'pilik2', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=972, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51912)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=968, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51913)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=548, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51954)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=488, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51955)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=552, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51956)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=560, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51957)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=572, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51958)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51959)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=412, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51960)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=564, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51961)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51962)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=492, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51963)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=532, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51964)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=408, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51965)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=460, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51966)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=524, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51967)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51968)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51969)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=496, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51970)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=556, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51971)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=568, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51972)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=584, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51973)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=592, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51974)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=580, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51975)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=596, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51976)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=588, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51977)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51978)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=604, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51979)>, 'pilik', 'Yep, I am here'),{}
ֲûחמג presence: (<socket.socket fd=600, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7771), raddr=('127.0.0.1', 51980)>, 'pilik', 'Yep, I am here'),{}
